,p,BFS Time,A* Time
0,0.01,0.044206,0.2292565
0,0.01,0.0257575,0.1681446
0,0.01,0.0510579,0.2073802
0,0.01,0.0451211,0.3105734
0,0.01,0.0568405,0.2164863
0,0.01,0.0288857,0.1598693
0,0.01,0.0364305,0.1804919
0,0.01,0.0457049,0.2089528
0,0.01,0.0560486,0.1746748
0,0.01,0.0211535,0.1479349
0,0.01,0.0325261,0.1652452
0,0.01,0.0208994,0.1486253
0,0.01,0.0313649,0.1583488
0,0.01,0.0570265,0.2599117
0,0.01,0.1206386,0.6055102
0,0.01,0.0477189,0.1929483
0,0.01,0.0210597,0.155163
0,0.01,0.0206638,0.1477462
0,0.01,0.0205313,0.1496694
0,0.01,0.0333415,0.1673679
0,0.01,0.0586486,0.2662424
0,0.01,0.0402817,0.1613389
0,0.01,0.0474981,0.2921234
0,0.01,0.0405764,0.243036
0,0.01,0.0601739,0.1981328
0,0.01,0.0209046,0.1547407
0,0.01,0.0508953,0.261937
0,0.01,0.0843359,0.3092215
0,0.01,0.0409702,0.2544588
0,0.01,0.035151,0.1630111
0,0.02,0.0982016,0.3643914
0,0.02,0.0634669,0.3294832
0,0.02,0.0333435,0.1727027
0,0.02,0.0621258,0.2611188
0,0.02,0.1111354,0.4114449
0,0.02,0.0898796,0.2917557
0,0.02,0.0892292,0.3066193
0,0.02,0.0743291,0.3428921
0,0.02,0.0910182,0.3015288
0,0.02,0.0479792,0.173255
0,0.02,0.0394038,0.1685985
0,0.02,0.0833092,0.3696722
0,0.02,0.0711861,0.2389272
0,0.02,0.1350615,0.5410916
0,0.02,0.071332,0.4099436
0,0.02,0.0704059,0.3560915
0,0.02,0.0911005,0.3720993
0,0.02,0.0519356,0.18418
0,0.02,0.1071745,0.4561748
0,0.02,0.1057691,0.2981782
0,0.02,0.035246,0.1634802
0,0.02,0.0678318,0.2152152
0,0.02,0.0244006,0.1543155
0,0.02,0.0727284,0.2237172
0,0.02,0.0591487,0.3377835
0,0.02,0.0796693,0.3735899
0,0.02,0.0903194,0.2552013
0,0.02,0.0607176,0.3008136
0,0.02,0.0737087,0.2264542
0,0.02,0.0457952,0.1775898
0,0.03,0.1285911,0.3608056
0,0.03,0.1185624,0.5082002
