,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0,201,201,201,10201
0,0.01,203,201,201,35786
0,0.01,201,201,201,10201
0,0.01,207,201,201,34323
0,0.01,203,201,201,11531
0,0.01,203,201,201,43390
0,0.01,201,201,201,29565
0,0.01,201,201,201,16030
0,0.01,201,201,201,10201
0,0.01,201,201,201,28185
0,0.01,201,201,201,30600
0,0.01,201,201,201,10201
0,0.01,201,201,201,18748
0,0.01,203,201,201,13427
0,0.01,201,201,201,10201
0,0.01,203,201,201,24283
0,0.01,201,201,201,27574
0,0.01,203,201,201,10381
0,0.01,205,201,201,44011
0,0.01,201,201,201,20401
0,0.01,205,201,201,22396
0,0.01,205,201,201,17773
0,0.01,201,201,201,10201
0,0.01,205,201,201,30514
0,0.01,205,201,201,33184
0,0.01,201,201,201,30012
0,0.01,201,201,201,20310
0,0.01,203,201,201,37622
0,0.01,203,201,201,23851
0,0.01,203,201,201,11011
0,0.01,203,201,201,17834
0,0.02,209,201,201,34196
0,0.02,203,201,201,62569
0,0.02,209,201,201,64441
0,0.02,205,201,201,65767
0,0.02,211,201,201,34487
0,0.02,203,201,201,47036
0,0.02,205,201,201,37477
0,0.02,203,201,201,40246
0,0.02,205,201,201,24666
0,0.02,201,201,201,26413
0,0.02,203,201,201,11069
0,0.02,203,201,201,30370
0,0.02,203,201,201,15352
0,0.02,207,201,201,32388
0,0.02,207,201,201,36972
0,0.02,205,201,201,29466
0,0.02,205,201,201,42050
0,0.02,201,201,201,39301
0,0.02,205,201,201,14271
0,0.02,213,201,201,52466
0,0.02,207,201,201,32075
0,0.02,201,201,201,10201
0,0.02,205,201,201,12764
0,0.02,205,201,201,30353
0,0.02,207,201,201,40358
0,0.02,205,201,201,33627
0,0.02,205,201,201,39114
0,0.02,201,201,201,29352
0,0.02,209,201,201,59637
0,0.02,205,201,201,58070
