,p,Time_E,Search_Space_E,Path_Length_E,Time_M,Search_Space_M,Path_Length_M,Time_C,Search_Space_C,Path_Length_C,,Add,,Add,,Add,,Add
0,0.01,0.248025,10100,201,0.1572161,10100,201,0.2933459,10100,201,0,0,0,0,0,0,200,200
0,0.01,0.2212564,10098,201,0.1487728,10051,201,0.2648911,10098,201,0.3,0.3,0.45,0.45,11000,11000,218,218
0,0.01,0.2256297,10097,201,0.1569847,10008,201,0.2576909,10097,201,,,,,,,,
0,0.01,0.2371918,10099,201,0.1477816,10082,201,0.2615795,10099,201,,,,,,,,
0,0.01,0.2285205,10099,201,0.1469447,10073,201,0.2535037,10099,201,,,,,,,,
0,0.01,0.2299059,10100,201,0.1562072,10100,201,0.2542627,10100,201,,,,,,,,
0,0.01,0.2269423,10100,201,0.1727623,10100,201,0.2913651,10100,201,,,,,,,,
0,0.01,0.2304612,10097,201,0.1473688,9996,201,0.2630552,10097,201,,,,,,,,
0,0.01,0.2511362,10100,201,0.1488509,10100,201,0.2596905,10100,201,,,,,,,,
0,0.01,0.2258492,10099,201,0.1489367,10077,201,0.269344,10099,201,,,,,,,,
0,0.01,0.2211037,10100,201,0.1473273,10100,201,0.2814488,10100,201,,,,,,,,
0,0.01,0.2314527,10100,201,0.1569939,10100,201,0.2774497,10100,201,,,,,,,,
0,0.01,0.224559,10099,201,0.1541965,10061,201,0.251334,10099,201,,,,,,,,
0,0.01,0.2310061,10100,201,0.1584044,10100,201,0.2552053,10100,201,,,,,,,,
0,0.01,0.2174418,10091,201,0.1546942,9916,201,0.2545715,10091,201,,,,,,,,
0,0.01,0.2133409,10097,201,0.1482196,9986,201,0.2510286,10096,201,,,,,,,,
0,0.01,0.2176149,10100,201,0.1487946,10100,201,0.2552083,10100,201,,,,,,,,
0,0.01,0.2591768,10100,201,0.1529202,10100,201,0.2688038,10100,201,,,,,,,,
0,0.01,0.2245659,10098,201,0.1667066,10067,201,0.2610058,10098,201,,,,,,,,
0,0.01,0.2437007,10098,201,0.153855,10002,201,0.2557917,10098,201,,,,,,,,
0,0.01,0.2146629,10100,201,0.147593,10100,201,0.2548898,10100,201,,,,,,,,
0,0.01,0.2264508,10100,201,0.1592416,10100,201,0.2628869,10100,201,,,,,,,,
0,0.01,0.2166093,10100,201,0.1512372,10100,201,0.2578313,10100,201,,,,,,,,
0,0.01,0.2152448,10100,201,0.1479952,10100,201,0.2576768,10100,201,,,,,,,,
0,0.01,0.2195737,10100,201,0.1470735,10100,201,0.2555742,10100,201,,,,,,,,
0,0.01,0.2163341,10100,201,0.1507716,10100,201,0.2535275,10100,201,,,,,,,,
0,0.01,0.2140001,10100,201,0.1505817,10100,201,0.26542,10100,201,,,,,,,,
0,0.01,0.2161229,10099,201,0.1457719,10088,201,0.2550567,10099,201,,,,,,,,
0,0.01,0.229249,10099,201,0.1504648,10073,201,0.2739073,10097,201,,,,,,,,
0,0.01,0.2125555,10100,201,0.1493144,10100,201,0.2593181,10100,201,,,,,,,,
0,0.01,0.2134261,10100,201,0.1458173,10100,201,0.2578185,10100,201,,,,,,,,
0,0.01,0.2225097,10100,201,0.1507269,10100,201,0.2519603,10100,201,,,,,,,,
0,0.01,0.2220056,10099,201,0.163991,10077,201,0.2545997,10099,201,,,,,,,,
0,0.01,0.2192401,10098,201,0.1501312,9987,201,0.2507231,10098,201,,,,,,,,
0,0.01,0.2159223,10100,201,0.1511321,10100,201,0.2528467,10100,201,,,,,,,,
0,0.01,0.222941,10098,201,0.173417,10074,201,0.2517148,10098,201,,,,,,,,
0,0.01,0.2137625,10100,201,0.1521549,10100,201,0.2563285,10100,201,,,,,,,,
0,0.01,0.2129685,10100,201,0.1412258,10100,201,0.2502987,10100,201,,,,,,,,
0,0.01,0.2427297,10100,201,0.1478743,10100,201,0.2624169,10100,201,,,,,,,,
0,0.01,0.2196807,10099,201,0.1509374,10065,201,0.2706823,10099,201,,,,,,,,
0,0.01,0.2259611,10100,201,0.1547176,10100,201,0.2746925,10100,201,,,,,,,,
0,0.01,0.2289008,10100,201,0.159772,10100,201,0.2548835,10100,201,,,,,,,,
0,0.01,0.2159377,10099,201,0.1450175,10079,201,0.2705487,10099,201,,,,,,,,
0,0.01,0.2458881,10100,201,0.1426429,10100,201,0.2503141,10100,201,,,,,,,,
0,0.01,0.2099501,10100,201,0.1724182,10100,201,0.2541853,10100,201,,,,,,,,
0,0.01,0.2193044,10100,201,0.1452299,10100,201,0.2725003,10100,201,,,,,,,,
0,0.01,0.2150347,10100,201,0.1479669,10100,201,0.2650841,10100,201,,,,,,,,
0,0.01,0.2181233,10100,201,0.1596136,10100,201,0.2527391,10100,201,,,,,,,,
0,0.01,0.2198328,10097,201,0.1567971,9971,201,0.2743574,10097,201,,,,,,,,
0,0.01,0.2408857,10097,201,0.1656614,9989,201,0.2726272,10097,201,,,,,,,,
0,0.01,0.2163651,10095,201,0.1472675,9989,201,0.3368724,10095,201,,,,,,,,
0,0.01,0.401598,10098,201,0.2153944,10056,201,0.372735,10098,201,,,,,,,,
0,0.01,0.2819417,10099,201,0.2546318,10069,201,0.346889,10099,201,,,,,,,,
0,0.01,0.2952334,10100,201,0.17894,10100,201,0.3335142,10100,201,,,,,,,,
0,0.01,0.2470539,10100,201,0.1625714,10100,201,0.271478,10100,201,,,,,,,,
0,0.01,0.2195907,10098,201,0.1667877,10029,201,0.3662174,10096,201,,,,,,,,
0,0.01,0.3164625,10100,201,0.1952489,10100,201,0.2858984,10100,201,,,,,,,,
0,0.01,0.2439585,10099,201,0.1693393,10099,201,0.2743685,10099,201,,,,,,,,
0,0.01,0.2320281,10100,201,0.1505345,10100,201,0.2845935,10100,201,,,,,,,,
0,0.01,0.2319217,10099,201,0.1511471,10039,201,0.2644899,10099,201,,,,,,,,
0,0.01,0.2149657,10099,201,0.1468412,10085,201,0.2568141,10099,201,,,,,,,,
0,0.01,0.243692,10098,201,0.1570685,10069,201,0.258804,10098,201,,,,,,,,
0,0.01,0.2210711,10100,201,0.163892,10100,201,0.2522036,10100,201,,,,,,,,
0,0.01,0.2237254,10100,201,0.1712971,10100,201,0.2685451,10100,201,,,,,,,,
0,0.01,0.2321543,10098,201,0.1762131,10057,201,0.2729473,10098,201,,,,,,,,
0,0.01,0.217187,10100,201,0.1506732,10100,201,0.2600147,10100,201,,,,,,,,
0,0.01,0.215968,10099,201,0.1486314,10073,201,0.2562036,10099,201,,,,,,,,
0,0.01,0.2157883,10099,201,0.1547185,10088,201,0.2610553,10099,201,,,,,,,,
0,0.01,0.2208251,10098,201,0.1515549,10021,201,0.2741402,10098,201,,,,,,,,
