,p,Avg Trajectory Length,Avg T_FDG,Avg FDG_FG,Avg Cells Processed
0,0,201,1,1,10201
0,0.01,203.02,1.010049751,1,16659.2
0,0.02,205,1.019900498,1,20980.7
0,0.03,208.3,1.036318408,1,26011.87
0,0.04,209.84,1.0439801,1,32409.64
0,0.05,213.02,1.059800995,1,36666.89
0,0.06,215.56,1.072437811,1,46729.92
0,0.07,217.16,1.08039801,1,55405.59
0,0.08,220.72,1.098109453,1,61546.11
0,0.09,223.7,1.112935323,1,65650.75
0,0.1,227.58,1.132238806,1,75519.13
0,0.11,234.02,1.164278607,1,84108.48
0,0.12,237.8,1.183084577,1,92673.91
0,0.13,239.82,1.193134328,1,102095.05
0,0.14,245.56,1.221691542,1,112629.91
0,0.15,248.06,1.234129353,1,116530.28
0,0.16,254.86,1.267960199,0.999901478,130798.89
0,0.17,257.82,1.282686567,0.999901478,138102.77
0,0.18,266.68,1.326766169,0.999901478,155758.83
0,0.19,272.92,1.357810945,1,169507.8
0,0.2,279.74,1.391741294,0.999706356,181544.23
0,0.21,283.18,1.40869838,0.999901478,187629.24
0,0.22,294.06,1.462352955,0.999704433,208797.33
0,0.23,304.46,1.514416587,0.999705395,216382.21
0,0.24,313.2,1.558208955,0.999509312,247666.09
0,0.25,321.98,1.601721442,0.998819656,268797.5
0,0.26,335.22,1.667606794,0.99892389,274485.72
0,0.27,348.04,1.731166606,0.997550402,314361.56
0,0.28,358.98,1.785589785,0.994270269,337998.87
0,0.29,380.02,1.889844357,0.99132176,370610.93
0,0.3,405.82,2.016926962,0.987937452,389858.47
