,p,Smart_time,Normal_time,Smart_length,Normal_length
0,0,0.1487031,0.1467394,201,201
0,0,0.1752176,0.1484727,201,201
0,0,0.1673234,0.1488561,201,201
0,0,0.147886,0.1462686,201,201
0,0,0.1696164,0.1543214,201,201
0,0,0.1649323,0.1428587,201,201
0,0,0.1473176,0.148635,201,201
0,0,0.1462216,0.1501804,201,201
0,0,0.1598423,0.1506611,201,201
0,0,0.1461849,0.1679043,201,201
0,0,0.1447014,0.1607852,201,201
0,0,0.167356,0.1695772,201,201
0,0,0.1569245,0.1690482,201,201
0,0,0.1782625,0.1674165,201,201
0,0,0.1888227,0.164902,201,201
0,0,0.1865656,0.164242,201,201
0,0,0.1665335,0.1869826,201,201
0,0,0.1624948,0.1954499,201,201
0,0,0.1561256,0.1647876,201,201
0,0,0.1471719,0.1623323,201,201
0,0,0.1567451,0.1634037,201,201
0,0,0.147824,0.1631607,201,201
0,0,0.1430268,0.142516,201,201
0,0,0.1469129,0.1481182,201,201
0,0,0.1450838,0.1739286,201,201
0,0,0.1460755,0.1474437,201,201
0,0,0.1587573,0.1502245,201,201
0,0,0.150205,0.1562952,201,201
0,0,0.1495784,0.1488554,201,201
0,0,0.1472047,0.1438211,201,201
0,0,0.15588,0.146593,201,201
0,0,0.1544898,0.1490555,201,201
0,0,0.1672642,0.1429163,201,201
0,0,0.1510968,0.1474886,201,201
0,0,0.1474905,0.1448807,201,201
0,0,0.1470366,0.1617336,201,201
0,0,0.1476,0.1475029,201,201
0,0,0.1470155,0.1491247,201,201
0,0,0.1560714,0.1572761,201,201
0,0,0.1470795,0.1458216,201,201
0,0,0.1457262,0.1482994,201,201
0,0,0.146952,0.1479358,201,201
0,0,0.1476717,0.1489613,201,201
0,0,0.1675681,0.1462016,201,201
0,0,0.1469757,0.1452202,201,201
0,0,0.1455641,0.1470729,201,201
0,0,0.1468599,0.1459576,201,201
0,0,0.1558975,0.1483902,201,201
0,0,0.1462225,0.1542647,201,201
0,0,0.1455006,0.1481492,201,201
0,0,0.1600605,0.1645323,201,201
0,0,0.16043,0.1452836,201,201
0,0,0.1465735,0.1466699,201,201
0,0,0.1568534,0.1475624,201,201
